,Name,Fantrax_Rank,Fantrax_ADP,Dollars,IP,ERA,WHIP,K/9,QS,SV,K-BB%,PL_Rank,Eno,Stuff+
37,Yusei Kikuchi,41,145.37,10.36869056622725,170.648,3.93765,1.21455,10.0235,11.7569,0.0,0.1955452114343643,71.0,45.0,101.0
38,Nathan Eovaldi,58,187.64,9.757415895234049,158.835,3.89422,1.18158,8.66726,12.4978,0.0,0.1689587831497192,55.0,57.0,100.0
39,Seth Lugo,36,128.84,9.56452495229018,182.73,3.93325,1.22869,7.92146,14.4332,0.044473,0.1482411026954651,49.0,65.0,97.0
40,Nick Pivetta,59,195.58,9.209301766451429,148.563,3.98823,1.164,10.2247,10.4766,0.000968049,0.2021767571568489,79.0,59.0,105.0
41,Raisel Iglesias,39,139.74,9.075786482286617,66.5835,3.15169,1.08998,9.71915,0.0,33.8232,0.2079229280352592,,,
42,Josh Hader,24,103.5,9.035594031195432,62.5168,3.21518,1.09984,12.5874,0.0,33.1101,0.2476380839943885,,,
43,Carlos Rodón,30,116.27,8.77343808237552,160.701,4.12194,1.19365,10.0736,12.1202,0.0,0.1903129965066909,43.0,47.0,109.0
44,Taj Bradley,48,167.43,8.30869966912251,160.374,3.95979,1.21583,9.66491,11.3206,0.0,0.1808271408081054,70.0,54.0,108.0
45,Jared Jones,37,129.15,8.20531659388146,161.162,3.93936,1.21915,9.32083,11.6826,0.0,0.1690107360482216,39.0,37.0,102.0
46,Ryan Pepiot,53,173.42,7.907781652552543,150.877,3.94469,1.19188,9.41085,10.7841,0.0,0.1685070320963859,45.0,39.0,107.0
47,Félix Bautista,45,157.45,7.837017411697308,55.2959,2.69543,1.0956,13.0115,0.0,27.0359,0.2551486790180206,,,
48,Devin Williams,25,103.86,7.789425198339929,58.2563,2.86862,1.15449,12.2445,0.0,31.3479,0.2175796255469322,,,
49,Andrés Muñoz,55,183.28,7.561089828811892,59.6333,2.73126,1.11909,11.4885,0.0,26.6193,0.2175173982977867,,,
50,Brandon Woodruff,62,202.95,7.4865571052602515,124.004,3.72969,1.1553,9.60917,9.95933,0.0,0.1912116408348083,61.0,129.0,106.0
51,Shohei Ohtani,1,1.34,7.471159195248704,110.951,3.52475,1.14124,10.5207,8.53678,0.0,0.202406495809555,41.0,22.0,115.0
52,Tanner Houck,57,187.12,7.331020267052565,170.811,3.87147,1.23809,7.94414,11.9063,0.0501945,0.1390387937426567,68.0,62.0,102.0
53,Kodai Senga,35,124.8,6.778090294183225,150.338,3.7204,1.27626,9.90938,10.9665,0.0,0.1562048569321632,44.0,43.0,104.0
54,Ranger Suárez,65,219.4,6.7134714733407606,157.196,3.70675,1.25222,8.13727,11.0958,0.0,0.1410123631358146,,70.0,98.0
55,Jeff Hoffman,110,313.15,6.329732357169182,62.0191,3.08476,1.11777,11.1503,0.0,25.2877,0.2202269434928894,,,
56,Brandon Pfaadt,49,168,6.31897664127691,155.625,4.034,1.20536,9.06129,10.1905,0.0,0.1848682910203933,93.0,46.0,102.0
57,Robbie Ray,54,175.6,6.2108689133887385,142.495,3.97143,1.21864,10.0284,10.6251,0.0,0.1828783005475998,37.0,48.0,104.0
58,José Berríos,44,156.95,5.5869780680022165,185.315,4.21837,1.24258,7.72807,14.1689,0.0,0.1377717852592468,,90.0,91.0
59,Drew Rasmussen,100,297.5,5.222524190946599,105.195,3.3683,1.13217,8.77999,6.19335,0.0966918,0.1801748797297477,66.0,77.0,121.0
60,Jeffrey Springs,78,246.26,5.143665387941769,131.476,3.82228,1.19792,9.00193,9.09639,0.0,0.1725993528962135,54.0,98.0,93.0
61,Michael Wacha,71,231.31,4.874059769677515,162.059,4.01148,1.23732,7.85416,11.4284,0.0,0.1398263052105903,,91.0,99.0
62,Sean Manaea,46,159.82,4.601194279876253,146.829,4.10198,1.21626,9.08175,10.5504,0.00116002,0.1607238501310348,73.0,69.0,99.0
63,Nick Lodolo,68,222,4.593854821964928,135.958,3.98375,1.21996,9.75054,9.70061,0.0,0.1824101656675338,72.0,60.0,104.0
64,Tanner Scott,85,260.29,4.29258860931512,65.6381,2.95754,1.22835,11.0145,0.0,21.2945,0.1802292168140411,,,
65,Jesús Luzardo,86,262.94,4.244451513735971,143.143,4.07217,1.22658,9.22345,10.5894,0.0,0.165465161204338,65.0,74.0,98.0
66,Chris Bassitt,81,250.82,4.051288792798527,174.504,4.09937,1.2833,8.29752,12.8932,0.0,0.1374147459864616,,108.0,97.0
67,Bowden Francis,60,198.5,3.8279390285555945,140.561,4.15744,1.16699,8.34624,8.69104,0.00460422,0.1611118987202644,78.0,79.0,100.0
68,Reese Olson,84,258.16,3.7063109732340567,140.683,3.9107,1.23981,8.38576,10.1928,0.0,0.1463475525379181,81.0,58.0,93.0
69,Yu Darvish,67,221.86,3.693415221207663,132.762,4.09526,1.18366,8.68916,9.59043,0.0,0.1661287248134613,47.0,66.0,96.0
70,Max Scherzer,137,363.05,3.408443255152669,104.682,3.8832,1.13168,9.20974,8.22531,0.0,0.1865650787949562,,80.0,99.0
71,Ronel Blanco,52,171.27,3.350970124223967,160.666,4.11397,1.26696,8.87467,10.8644,0.0,0.1350408867001533,53.0,84.0,90.0
72,Robert Suarez,50,169.35,2.964294101618881,61.0186,3.5221,1.17425,8.904,0.0,26.7436,0.1617118343710899,,,
73,Clay Holmes,119,331.77,2.8804337633338712,135.135,3.66985,1.29896,8.53735,8.95626,2.30248,0.1329902932047844,76.0,53.0,124.0
74,Mitch Keller,63,205.83,2.879496367645771,179.75,4.24195,1.28346,8.27039,12.8777,0.0,0.1450484842061996,,73.0,99.0
75,Erick Fedde,73,234.69,2.8586103112921126,168.021,4.08324,1.2689,7.85567,10.8784,0.0,0.1347126439213752,,125.0,89.0
76,Merrill Kelly,82,251.87,2.745209596591716,153.042,4.08628,1.2591,8.20731,11.1482,0.0,0.1411542892456054,85.0,113.0,91.0
77,Griffin Jax,124,338.34,2.249613457917756,65.3616,3.15636,1.08512,10.5358,0.199577,6.96684,0.2236440479755401,,,
78,Jason Adam,145,380.88,2.248470827844125,65.7216,3.13235,1.07867,10.295,0.0,6.72544,0.2009638026356697,,,
79,Shane Baz,47,161.22,2.222045421200882,138.404,4.04599,1.2429,8.49062,9.86017,0.0,0.1408297196030616,51.0,64.0,101.0
80,Cade Smith,144,380.82,2.0887406861776405,67.1111,2.97436,1.09911,11.6574,0.0,1.73778,0.2396528348326683,,,
81,Cade Smith,5918,-,2.0887406861776405,67.1111,2.97436,1.09911,11.6574,0.0,1.73778,0.2396528348326683,,,
82,Gavin Williams,70,230.73,1.8908360553192112,136.351,3.99248,1.25706,9.19189,8.46087,0.0,0.1513617485761642,58.0,56.0,99.0
83,Matt Strahm,172,416.6,1.6944285277658802,63.9867,3.23226,1.04999,10.7649,0.0,4.50109,0.2348114177584648,,,
84,Trevor Megill,91,284.13,1.5696969171776196,57.1572,3.52644,1.22107,10.7195,0.0,23.588,0.1997156143188476,,,
85,Jameson Taillon,87,265.69,1.563031021079371,166.012,4.31751,1.2325,7.14247,11.3104,0.00142244,0.1337584108114242,,121.0,91.0
86,Ryan Pressly,169,411.19,1.3258749720043956,58.1226,3.48325,1.20952,9.3486,0.0,23.121,0.1784919425845146,,,
87,Bryan Abreu,163,398.09,1.3018854152205164,71.1833,3.15185,1.18154,11.7149,0.0,4.53345,0.2133868858218193,,,
88,Justin Martinez,121,335.05,1.2908672366415057,66.5705,3.27308,1.3166,11.1198,0.0,20.172,0.1686425060033798,,,
89,Chris Martin,235,566.37,1.187964939482169,56.5648,3.25048,1.10422,9.30529,0.0,14.1465,0.2148966453969478,,,
90,José Soriano,128,345.24,1.0215378042625836,139.539,3.90657,1.30672,8.53142,10.075,0.0,0.1232749745249748,84.0,75.0,103.0
91,Clarke Schmidt,66,220.65,1.0,130.0,3.92426,1.24817,8.97598,6.61686,0.0,0.1593536213040352,82.0,44.0,105.0
92,Pete Fairbanks,102,301.38,1.0,52.2214,3.45444,1.19695,10.0118,0.0,22.8563,0.1781537607312202,,,
93,Kumar Rocker,89,279.69,0.9960089299136154,106.578,3.85585,1.20966,9.3696,7.16332,0.0,0.1758843436837196,77.0,76.0,99.0
94,A.J. Puk,130,349.09,0.9499599554685896,62.9247,3.35643,1.16617,10.7497,0.0,12.1691,0.2083801701664924,,,
95,Kyle Harrison,97,296.11,0.7157554005228095,135.019,4.10012,1.27654,9.13315,9.61871,0.0,0.1514305472373962,,104.0,89.0
96,Orion Kerkering,146,381.5,0.647797758455794,60.7789,3.01715,1.12789,10.3294,0.0,6.07924,0.2075949162244796,,,
97,Brayan Bello,77,243.31,0.5161926801533396,161.456,4.08341,1.32339,8.27869,11.1889,0.0,0.1332151368260383,,78.0,97.0
98,Luis Gil,42,154.93,0.282264684307585,133.342,4.10439,1.29462,9.949,8.8869,0.0,0.1460433155298233,69.0,49.0,107.0
99,Kutter Crawford,69,225.48,0.1847396249448751,132.349,4.35958,1.19928,8.75633,7.83919,0.0,0.1653734967112541,86.0,86.0,100.0
100,Kirby Yates,74,235.45,-0.0297413723822284,57.7667,3.2909,1.19277,11.2149,0.0,11.7661,0.1863802671432495,,,
101,Brady Singer,72,232.17,-0.0969181448468825,170.756,4.37841,1.29588,8.37932,11.7078,0.0,0.1504857987165451,,159.0,89.0
102,Eduardo Rodriguez,116,328.71,-0.3843664404731639,132.844,4.00581,1.28795,8.24139,8.96985,0.0,0.1390237435698509,,149.0,92.0
103,Nick Martinez,90,281.64,-0.4558619594720103,143.852,4.15552,1.25721,7.61976,8.4599,0.0923075,0.1398953571915626,,114.0,98.0
104,Lucas Erceg,75,235.91,-0.6077823941873222,64.7082,3.53885,1.23635,10.2315,0.0,13.6478,0.1803449764847755,,,
105,David Peterson,105,308.46,-0.6283403379013981,138.076,3.86494,1.34443,8.40378,9.62388,0.0,0.1267130598425865,,103.0,94.0
106,Kenley Jansen,138,363.79,-0.6547265192152831,54.6861,3.82582,1.21452,10.3724,0.0,20.2176,0.1857368126511573,,,
107,Robert Garcia,263,672.55,-0.8295435686279276,62.6851,3.36264,1.18953,10.0212,0.0,8.5908,0.186796449124813,,,
108,Zack Littell,115,328.16,-1.0040049262094306,135.51,4.23083,1.23678,7.66716,8.05122,0.0,0.1524135433137416,,122.0,94.0
109,Cody Bradford,103,302.35,-1.1141650260387364,103.91,4.12656,1.15167,8.15536,5.26317,0.0,0.1699330657720565,,148.0,87.0
110,Carlos Estévez,131,349.4,-1.1830194271031846,61.9327,3.84828,1.24053,8.9084,0.0,19.5471,0.1554541662335395,,,
111,Matthew Boyd,109,312.73,-1.183267533712272,99.5722,3.92613,1.21569,9.32576,5.66387,0.0,0.172157920897007,87.0,97.0,91.0
112,Liam Hendriks,139,370.79,-1.227556551625158,52.7522,3.81796,1.18356,10.2281,0.0,17.294,0.2032134383916854,,,
113,Luis Severino,80,249.41,-1.257780987450256,169.693,4.39599,1.30059,7.84769,11.6422,0.0,0.1267890930175781,,68.0,108.0
114,Jeremiah Estrada,189,439.08,-1.2858142333377702,60.5713,3.31603,1.19159,12.3694,0.0,3.64835,0.2303430438041687,,,
115,Jordan Romano,129,346.84,-1.32089215295822,52.1867,3.86938,1.24623,9.51636,0.0,22.3755,0.1659936979413032,,,
116,Aaron Civale,95,293.61,-1.3390419963180662,148.646,4.37196,1.26847,8.35456,9.12523,0.0,0.1496601477265358,,87.0,108.0
117,Aroldis Chapman,147,382.21,-1.3979238528179203,59.5404,3.39657,1.32559,13.2035,0.0,12.1923,0.2021075189113617,,,
118,Edwin Uceta,149,382.87,-1.443544405730914,63.9257,3.6777,1.19063,10.0989,0.0,9.88585,0.1809444725513458,,,
119,Tyler Holton,173,417.38,-1.5133804493153835,68.1727,3.2326,1.09544,7.87598,0.0,5.94929,0.1571598649024963,,,
120,David Festa,108,312.6,-1.5283822167258545,108.264,3.96614,1.2645,9.67317,6.10809,0.0,0.16988405585289,91.0,102.0,97.0
121,Ben Joyce,104,306.91,-1.5779775691192706,58.4205,3.35954,1.25786,10.5538,0.0,11.6287,0.1689616739749908,,,
122,Shane Bieber,155,390.39,-1.6232855728647029,78.5031,3.64316,1.1928,8.78403,6.25731,0.0,0.1759087555110454,100.0,,
123,Jon Gray,160,395.22,-1.794950590135529,141.244,4.32722,1.27531,8.0831,9.45447,0.0,0.1388681158423423,,177.0,91.0
124,Tobias Myers,88,270.54,-1.8000976364771095,135.903,4.26494,1.27314,8.17839,8.73757,0.0,0.1432350575923919,88.0,99.0,97.0
125,Keegan Akin,289,751.37,-1.8145368257737715,66.9322,3.49281,1.13797,10.0171,0.0,0.644183,0.2044875994324684,,,
126,David Bednar,94,291.44,-1.8709876804531191,59.3651,4.00359,1.27449,9.33302,0.0,21.4163,0.1567445993423462,,,
127,Jake Irvin,113,318.45,-1.893178266734588,162.673,4.44998,1.2832,7.43445,11.3713,0.0,0.1199214085936546,,135.0,100.0
128,Justin Verlander,154,388.48,-1.9227707188378196,122.313,4.21831,1.25496,7.57032,9.29812,0.0,0.1346506625413894,,85.0,110.0
129,Dean Kremer,117,328.78,-1.9920185085718456,145.522,4.2801,1.29351,7.91694,9.66638,0.0,0.1275263205170631,,107.0,98.0
130,Kevin Ginkel,252,639.73,-2.140605307814392,61.7199,3.38438,1.1958,9.66339,0.0,5.55123,0.1849294677376747,,,
131,Dylan Lee,356,873.39,-2.157399290448946,59.9538,3.20206,1.1535,10.2947,0.0,0.284534,0.2105401828885078,,,
132,Luis Garcia,140,371.37,-2.1581511734166416,80.7772,4.19473,1.24545,8.80435,3.82806,15.8879,0.1573234945535659,,,
133,Luis Garcia,618,-,-2.1581511734166416,80.7772,4.19473,1.24545,8.80435,3.82806,15.8879,0.1573234945535659,,,
