Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Brooks Raley",,0.919325,1.00363,0,3.94733,21.1455,0,0.790741,3.68049,0.590722,21.2382,90.5347,19.1922,10.1249,9.31491,2.67004,8.32248,0.318335,1.21682,21.2581,9.00842,3.52677,2.55429,1.13147,0.234806,0.0919259,0.14287994801998138,0.236954,1.29553,0.289521,0.731381,,,4.14642,0.06639,0.0965836,999,1.21466,0.707473,1.17304,1.21466,-0.707473,3.43595,105.1,5.004761904761905,102,4.857142857142857,,,,,,,,,,,,,,,,,,,"Brooks Raley","10061",548384
"Jhonathan Díaz","SEA",0.299433,0.730143,0.562057,4.34518,3.1823,1.8725,0,0,0,11.0793,48.6295,11.174,5.81419,5.34906,1.22828,4.41343,0.086011,0.80128,8.64716,7.02432,3.58514,1.95928,0.997763,0.177817,0.0907562,0.08706100285053253,0.257379,1.4069,0.29654,0.704742,,,4.45875,0.0657805,0.0272213,999,1.50724,-0.946386,1.29149,1.50724,0.946386,3.27801,43.50000000000001,3.954545454545455,45,4.090909090909091,,,,,,,,,,,,,,,,,,,"Jhonathan Diaz","20298",646242
"Kyle Nelson","ARI",2.01889,1.33295,0,4.12299,27.8658,0.171503,0,4.41289,1.44701,27.4396,116.765,25.9092,13.6634,12.5704,3.74513,9.83321,1.03896,1.1729,26.8855,8.81826,3.22522,2.73415,1.22838,0.230254,0.084214,0.14604005217552185,0.244985,1.30258,0.295018,0.723919,,,4.1845,0.0634928,0.0383788,748.0999755859375,1.34249,-1.6928,0.985322,1.34249,1.6928,3.68624,120.00000000000003,4.4444444444444455,120,4.444444444444445,,,,,,,,,,,,,,,,,,,"Kyle Nelson","20515",669459
"Gordon Graceffo","STL",1.79721,2.42031,0.982283,4.55048,19.5103,2.10458,0,0.871781,0,34.4567,149.579,35.7972,18.9365,17.4216,4.29032,12.2213,0.513796,1.29163,27.1106,7.08122,3.19217,2.21831,1.12062,0.181246,0.0817044,0.09954153001308441,0.263087,1.39359,0.301025,0.692229,,,4.38806,0.0632477,-0.0105902,999,3.95471,-1.32551,0.818875,3.95471,1.32551,3.90817,127.80000000000004,3.758823529411766,137,4.029411764705882,,,,,,,,,,,,,,,,,,,"Gordon Graceffo","29519",700669
"Joe La Sorsa","CIN",0.845552,0.563108,0,4.44076,18.3223,0,0.0208551,0.973951,0,23.0636,96.6551,22.3581,12.3695,11.38,3.28813,5.84989,0.698619,1.3321,17.7738,6.93579,2.28278,3.03831,1.28311,0.183889,0.0605234,0.12336539477109909,0.249887,1.22306,0.278756,0.67099,,,4.41278,0.0629448,0.0819477,999,2.05865,-0.437701,1.17363,2.05865,0.437701,3.43515,95.10000000000001,4.1347826086956525,95,4.130434782608695,,,,,,,,,,,,,,,,,,,"Joe La Sorsa","25481",686747
"Bradley Blalock","COL",1.45596,1.90416,0.569636,5.27431,15.9531,3.25996,0,0.817481,0,29.8736,132.149,32.3406,19.0293,17.507,4.45476,11.7131,0.457054,1.16306,22.9324,6.90881,3.52878,1.95785,1.34208,0.173534,0.0886352,0.08489906787872314,0.271148,1.47467,0.303484,0.661721,,,4.86281,0.0629227,0.0560658,999,2.98855,-0.273691,0.773087,2.98855,0.273691,3.96922,100.60000000000001,3.3533333333333335,109,3.6333333333333333,,,,,,,,,,,,,,,,,,,"Bradley Blalock","26419",687134
"Enyel De Los Santos","ATL",1.35516,0.828374,0,4.17795,26.0683,0,0.110239,3.16577,1.08311,27.1418,115.458,24.6955,13.6953,12.5997,3.7872,10.2541,0.629474,1.52588,27.69,9.18178,3.40018,2.70038,1.2558,0.239827,0.0888124,0.15101493895053864,0.238193,1.28766,0.289584,0.716899,,,4.24207,0.0611525,0.0320235,999,0.747746,0.199322,1.03171,0.747746,-0.199322,3.62439,117.60000000000002,4.355555555555556,115,4.2592592592592595,,,,,,,,,,,,,,,,,,,"Enyel De Los Santos","18403",660853
"Tyler Phillips","PHI",2.30607,1.84921,0.800205,4.94341,22.9845,2.01569,0,0.635502,0,33.4337,145.959,36.0811,19.9609,18.364,4.97253,11.147,0.481529,1.43864,25.5842,6.88702,3.00065,2.29518,1.33855,0.175284,0.0763706,0.09891357272863388,0.270528,1.41259,0.302565,0.677168,,,4.6988,0.0611455,-0.157056,999,2.71812,-0.241125,0.740122,2.71812,0.241125,4.01317,109.10000000000005,3.3060606060606075,120,3.6363636363636362,,,,,,,,,,,,,,,,,,,"Tyler Phillips","20629",663969
"Shawn Dubin","HOU",1.37298,1.57032,0,4.12436,29.7221,0.277934,0.356613,1.79741,0,34.8008,152.598,32.3643,17.3347,15.9479,3.56579,17.0068,0.344126,1.95625,35.7662,9.24967,4.39821,2.10305,0.922166,0.234382,0.111449,0.12293379753828049,0.242185,1.41868,0.305384,0.721883,,,4.07772,0.0607339,0.0818315,999,2.24444,-0.795064,0.861938,2.24444,0.795064,3.85075,149.60000000000002,4.274285714285715,146,4.171428571428572,,,,,,,,,,,,,,,,,,,"Shawn Dubin","24977",681869
"Ethan Small","SFG",1.07109,1.04141,0,4.05412,14.364,0,0.00896633,1.10234,0,16.6301,71.7805,15.615,8.14257,7.49116,1.76848,7.24888,0.310757,0.523076,15.9833,8.64998,3.923,2.20494,0.957081,0.22267,0.100987,0.12168285250663757,0.243952,1.37485,0.29934,0.722057,,,4.02874,0.0599821,0.0880733,999,0.970521,-0.300729,1.16977,0.970521,0.300729,3.4403,71.60000000000002,4.211764705882354,71,4.176470588235294,,,,,,,,,,,,,,,,,,,"Ethan Small","26364",663629
