ID,Player,Team,Position,RkOv,Status,Age,Opponent,Score,%D,ADP,Ros,IP,QS,SV,HLD,K,ERA,WHIP,GP
*04s1h*,Luis Gil,NYY,SP,46,FA,26,MIL Thu 12:05PM,88.07,100%,154.93,98%,167,17,0,0,192,3.88,1.287,30
*03i81*,Reynaldo Lopez,ATL,SP,103,FA,31,@SD Thu 1:10PM,80.37,100%,155.61,99%,137,16,0,0,147,3.61,1.168,26
*02mwk*,Jose Berrios,TOR,SP,62,FA,30,BAL Thu 12:07PM,86,100%,156.95,98%,185,17,0,0,158,4.09,1.222,32
*05t64*,Felix Bautista,BAL,RP,264,FA,29,@TOR Thu 12:07PM,66.43,100%,157.45,98%,55,0,32,0,83,2.95,1.109,51
*02x0f*,Sean Manaea,NYM,SP,61,FA,33,@HOU Thu 1:10PM,86.07,100%,159.82,97%,163,17,0,0,173,3.98,1.196,30
*04cwf*,Shane Baz,TB,SP,75,FA,25,,83.5,99%,161.22,99%,160,16,0,0,159,3.77,1.219,28
*04pr8*,Taj Bradley,TB,SP,47,FA,23,,88.02,100%,167.43,99%,160,16,0,0,204,3.94,1.188,28
*05lg3*,Brandon Pfaadt,ARI,SP,40,FA,26,CHC Thu 7:10PM,89.3,100%,168,99%,178,18,0,0,182,3.99,1.213,32
*05r01*,Robert Suarez,SD,RP,220,FA,34,ATL Thu 1:10PM,69.66,100%,169.35,98%,65,0,37,0,59,3.18,1.046,65
*052c8*,Cristopher Sanchez,PHI,SP,48,FA,28,@WSH Thu 1:05PM,87.82,99%,170.98,99%,171,19,0,0,153,3.47,1.187,30
*04ydi*,Ronel Blanco,HOU,SP,51,FA,31,NYM Thu 1:10PM,87.69,100%,171.27,98%,173,17,0,0,182,3.9,1.243,30
*0512m*,Ryan Pepiot,TB,SP,72,FA,27,,84.35,100%,173.42,98%,148,17,0,0,163,3.65,1.142,28
*025j1*,Robbie Ray,SF,SP,170,FA,33,@CIN Thu 1:10PM,74.19,99%,175.6,95%,126,12,0,0,154,4.21,1.198,24
*0403o*,Andres Munoz,SEA,RP,258,FA,26,ATH Thu 7:10PM,66.97,100%,183.28,98%,59,0,30,2,80,3.05,1.153,61
*02mwq*,Zach Eflin,BAL,SP,81,FA,30,@TOR Thu 12:07PM,82.79,99%,186.61,98%,164,16,0,0,143,3.79,1.122,28
*03djk*,Tanner Houck,BOS,SP,57,FA,28,@TEX Thu 1:05PM,86.48,99%,187.12,98%,177,18,0,0,156,3.76,1.277,31
*01ut7*,Nathan Eovaldi,TEX,SP,108,FA,35,BOS Thu 1:05PM,80.2,99%,187.64,97%,154,15,0,0,143,3.86,1.162,27
*0316j*,Nick Pivetta,SD,SP,95,FA,32,ATL Thu 1:10PM,80.92,98%,195.58,96%,140,14,0,0,172,3.92,1.114,26
*0421k*,Bowden Francis,TOR,"SP,RP",104,FA,28,BAL Thu 12:07PM,80.31,100%,198.5,97%,152,15,0,0,143,3.91,1.112,26
*05y0j*,Spencer Arrighetti,HOU,SP,94,FA,25,NYM Thu 1:10PM,80.98,99%,199.05,97%,145,15,0,0,169,4.1,1.269,28
*02bu3*,Brandon Woodruff,MIL,SP,139,FA,32,@NYY Thu 12:05PM,77.19,99%,202.95,96%,132,14,0,0,139,3.75,1.098,24
*03d7h*,Mitch Keller,PIT,SP,26,FA,28,@MIA Thu 1:10PM,91.01,98%,205.83,98%,188,18,0,0,191,3.93,1.239,32
*03aac*,Walker Buehler,BOS,SP,182,FA,30,@TEX Thu 1:05PM,72.75,98%,209.05,97%,129,12,0,0,144,4.26,1.31,24
*03et8*,Ranger Suarez,PHI,SP,84,FA,29,@WSH Thu 1:05PM,82.51,99%,219.4,97%,158,16,0,0,152,3.76,1.228,28
*04ee7*,Clarke Schmidt,NYY,SP,107,FA,29,MIL Thu 12:05PM,80.23,99%,220.65,95%,148,15,0,0,153,3.89,1.23,26
*01c5l*,Yu Darvish,SD,SP,248,FA,38,ATL Thu 1:10PM,67.41,97%,221.86,93%,115,11,0,0,111,3.99,1.209,20
*041ps*,Nick Lodolo,CIN,SP,126,FA,27,SF Thu 1:10PM,78.18,98%,222,97%,132,14,0,0,154,3.75,1.182,24
*04ep8*,Kutter Crawford,BOS,SP,369,FA,28,@TEX Thu 1:05PM,58.82,97%,225.48,86%,120,2,0,0,117,4.28,1.208,37
*05jp7*,Gavin Williams,CLE,SP,119,FA,25,@KC Thu 1:10PM,78.85,97%,230.73,96%,140,15,0,0,146,3.79,1.25,26
*02iug*,Michael Wacha,KC,SP,78,FA,33,CLE Thu 1:10PM,83.06,98%,231.31,92%,167,17,0,0,139,3.83,1.234,30
*03pov*,Brady Singer,CIN,SP,49,FA,28,SF Thu 1:10PM,87.77,97%,232.17,96%,184,17,0,0,176,4.06,1.255,32
*03d6n*,Erick Fedde,STL,SP,56,FA,32,MIN Thu 1:15PM,86.53,96%,234.69,93%,174,17,0,0,165,3.78,1.195,30
*030vs*,Kirby Yates,LAD,RP,289,FA,37,DET Thu 4:10PM,65.04,100%,235.45,90%,57,0,8,17,75,3.47,1.158,58
*041am*,Lucas Erceg,KC,RP,291,FA,29,CLE Thu 1:10PM,65.01,99%,235.91,91%,65,0,14,6,81,3.18,1.062,61
*03bin*,Nestor Cortes Jr.,MIL,SP,83,FA,30,@NYY Thu 12:05PM,82.53,97%,240.23,94%,165,16,0,0,153,4.09,1.23,30
*04t40*,Brayan Bello,BOS,SP,80,FA,25,@TEX Thu 1:05PM,82.87,95%,243.31,94%,168,16,0,0,163,4.18,1.351,30
*04mlr*,Jeffrey Springs,ATH,SP,171,FA,32,@SEA Thu 7:10PM,74.19,97%,246.26,89%,120,14,0,0,134,3.83,1.208,24
