ID,Player,Team,Position,RkOv,Status,Age,Opponent,Score,%D,ADP,Ros,IP,QS,SV,HLD,K,ERA,WHIP,GP
*05r3k*,Carson Spiers,CIN,"SP,RP",814,FA,27,SF Thu 1:10PM,30.73,0%,-,6%,51,0,0,0,43,4.94,1.451,16
*04eoy*,Hunter Stratton,PIT,RP,815,FA,28,@MIA Thu 1:10PM,30.7,0%,-,2%,42,0,0,5,35,4.29,1.405,37
*04py3*,J.P. France,HOU,SP,820,FA,29,NYM Thu 1:10PM,30.52,0%,-,9%,62,1,0,0,53,4.94,1.516,16
*041w0*,Richard Lovelady,TOR,RP,828,FA,29,BAL Thu 12:07PM,30.11,0%,-,1%,39,0,0,0,38,3.46,1.179,40
*0440n*,Sixto Sanchez,(N/A),SP,837,FA,26,,29.8,0%,-,7%,41,6,0,0,27,3.51,1.244,10
*02hi5*,Scott Alexander,COL,RP,839,FA,35,,29.66,0%,-,1%,42,0,0,0,32,3.64,1.262,47
*04q08*,Kyle Leahy,STL,"SP,RP",843,FA,27,MIN Thu 1:15PM,29.4,0%,-,1%,53,0,0,4,40,4.42,1.396,38
*041md*,Dakota Hudson,LAA,SP,850,FA,30,@CHW Thu 1:10PM,28.98,0%,-,3%,63,1,0,0,40,4.86,1.54,19
*02btq*,Scott McGough,ARI,RP,853,FA,35,CHC Thu 7:10PM,28.65,0%,-,1%,43,0,0,0,46,4.6,1.372,38
*04zaw*,Naoyuki Uwasawa,BOS,SP,855,FA,31,@TEX Thu 1:05PM,28.62,0%,-,5%,62,0,0,0,43,4.79,1.484,31
*04pyp*,Kody Funderburk,MIN,RP,857,FA,28,@STL Thu 1:15PM,28.44,0%,-,2%,38,0,0,4,39,4.26,1.474,31
*03pp7*,Tanner Rainey,PIT,RP,859,FA,32,@MIA Thu 1:10PM,28.34,0%,-,2%,45,0,0,0,45,4.6,1.533,43
*0515a*,Noah Murdock,ATH,RP,869,FA,26,@SEA Thu 7:10PM,28.01,0%,-,2%,43,0,0,0,40,4.19,1.488,44
*031av*,Keynan Middleton,(N/A),RP,871,FA,31,,27.9,0%,-,1%,33,0,0,4,43,4.36,1.242,33
*04n0k*,Carlos Hernandez,KC,RP,875,FA,27,CLE Thu 1:10PM,27.79,0%,-,3%,35,0,0,6,35,4.63,1.429,32
*02mx4*,J.T. Chargois,TEX,RP,881,FA,34,BOS Thu 1:05PM,27.46,0%,-,2%,40,0,0,0,35,4.05,1.3,40
*05ymh*,Luis Curvelo,TEX,RP,883,FA,24,BOS Thu 1:05PM,27.4,0%,-,3%,40,0,0,0,35,4.28,1.25,39
*04ddz*,Yohan Ramirez,PIT,RP,886,FA,29,@MIA Thu 1:10PM,27.21,0%,-,1%,40,0,0,0,43,4.28,1.45,41
*04pzi*,Evan Sisk,KC,RP,892,FA,27,CLE Thu 1:10PM,26.8,0%,-,2%,35,0,0,0,34,3.34,1.343,36
*01sve*,Joe Kelly,(N/A),RP,893,FA,36,,26.39,0%,-,2%,36,0,0,0,45,4.25,1.361,41
*04mjn*,Eduard Bazardo,SEA,RP,894,FA,29,ATH Thu 7:10PM,26.38,0%,-,2%,33,0,0,0,37,3.55,1.182,26
*031c2*,Kendall Graveman,ARI,RP,897,FA,34,CHC Thu 7:10PM,26.17,0%,-,5%,38,0,0,0,38,4.26,1.368,40
*02iya*,Jake Diekman,ATL,RP,898,FA,38,@SD Thu 1:10PM,26.08,0%,-,1%,39,0,0,0,44,4.62,1.487,49
*06kvo*,Spencer Bivens,SF,RP,900,FA,30,@CIN Thu 1:10PM,26,0%,-,3%,38,0,0,0,29,4.03,1.289,20
*03mhv*,Angel Perdomo,ATL,RP,901,FA,30,@SD Thu 1:10PM,25.89,0%,-,2%,33,0,0,0,49,4.09,1.364,34
*05gvt*,Bryce Jarvis,ARI,"SP,RP",902,FA,27,CHC Thu 7:10PM,25.78,0%,-,5%,57,0,0,2,38,5.37,1.614,39
*04ej0*,Bryan Sammons,(N/A),RP,914,FA,29,,25.28,0%,-,1%,40,0,0,0,37,4.95,1.45,9
*02n6w*,Ryan Borucki,PIT,RP,917,FA,30,@MIA Thu 1:10PM,25.15,0%,-,1%,35,0,0,0,36,4.37,1.229,40
*02bru*,Jordan Weems,ATL,RP,918,FA,32,@SD Thu 1:10PM,25.1,0%,-,1%,38,0,0,0,41,4.74,1.5,37
*028is*,Vince Velasquez,CLE,SP,922,FA,32,@KC Thu 1:10PM,24.81,0%,-,2%,37,4,0,0,38,4.38,1.324,8
*04pvu*,Stephen Kolek,SD,"SP,RP",923,FA,27,ATL Thu 1:10PM,24.81,0%,-,4%,45,0,0,3,35,4.4,1.444,40
*04q4d*,Clay Helvey,WSH,RP,925,FA,28,PHI Thu 1:05PM,24.74,0%,-,1%,36,0,0,0,41,4.5,1.444,37
*05rcp*,Tommy Nance,TOR,RP,926,FA,33,BAL Thu 12:07PM,24.73,0%,-,1%,32,0,0,0,33,3.66,1.25,28
*04rzp*,Rico Garcia,NYM,RP,929,FA,31,@HOU Thu 1:10PM,24.69,0%,-,1%,35,0,0,0,42,4.63,1.371,30
*04elu*,Tom Cosgrove,SD,RP,930,FA,28,ATL Thu 1:10PM,24.54,0%,-,1%,34,0,0,3,32,4.5,1.412,39
*05l1p*,Luarbert Arias,MIA,RP,931,FA,24,PIT Thu 1:10PM,24.49,0%,-,2%,36,0,0,0,31,4.25,1.361,37
*04egq*,Josh Fleming,SEA,RP,934,FA,28,ATH Thu 7:10PM,24.41,0%,-,2%,37,0,0,0,23,4.14,1.297,14
*03qpg*,Ian Gibaut,CIN,RP,935,FA,31,SF Thu 1:10PM,24.3,0%,-,2%,37,0,0,0,36,4.62,1.459,35
*03qmm*,Jovani Moran,BOS,RP,940,FA,27,@TEX Thu 1:05PM,24.21,0%,-,1%,35,0,0,0,42,4.37,1.514,33
*02n53*,Matt Bowman,BAL,RP,941,FA,33,@TOR Thu 12:07PM,24.16,0%,-,1%,33,0,0,0,29,3.82,1.273,28
*04k22*,Luis Patino,SD,RP,942,FA,25,ATL Thu 1:10PM,24.15,0%,-,6%,31,2,0,0,31,4.06,1.387,11
*061mp*,Peter Strzelecki,PIT,RP,943,FA,30,@MIA Thu 1:10PM,24.03,0%,-,2%,30,0,0,3,28,3.9,1.267,28
*02n7j*,Dominic Leone,(N/A),RP,945,FA,33,,23.81,0%,-,0%,36,0,0,0,41,5,1.444,39
*041w4*,Bryan Baker,BAL,RP,948,FA,30,@TOR Thu 12:07PM,23.71,0%,-,2%,29,0,0,5,32,4.34,1.379,27
*059ed*,Devin Sweet,PHI,RP,951,FA,28,@WSH Thu 1:05PM,23.68,0%,-,1%,32,0,0,0,37,4.22,1.313,26
*06qx2*,Anderson Pilar,ATL,RP,954,FA,27,@SD Thu 1:10PM,23.49,0%,-,1%,32,0,0,0,29,3.94,1.281,32
*04eon*,Brandon Hughes,CHC,RP,956,FA,29,@ARI Thu 7:10PM,23.41,0%,-,1%,32,0,0,0,35,4.22,1.313,31
*03pol*,Jake Woodford,COL,"SP,RP",957,FA,28,,23.4,0%,-,1%,45,4,0,0,32,5.6,1.644,10
*041rq*,Brenan Hanifee,DET,"SP,RP",958,FA,26,@LAD Thu 4:10PM,23.34,0%,-,3%,35,0,0,9,24,4.89,1.486,24
*04ek8*,Connor Brogdon,LAA,RP,961,FA,30,@CHW Thu 1:10PM,23.23,0%,-,1%,32,0,0,0,39,4.5,1.281,33
*03xy4*,Albert Abreu,CIN,RP,962,FA,29,SF Thu 1:10PM,23.13,0%,-,0%,34,0,0,4,31,5.03,1.588,35
*04n0p*,Zack Thompson,STL,RP,963,FA,27,MIN Thu 1:15PM,23.08,0%,-,4%,38,0,0,0,37,5.21,1.579,26
*04z9e*,George Soriano,MIA,RP,969,FA,25,PIT Thu 1:10PM,22.93,0%,-,2%,37,0,0,0,31,4.86,1.514,23
*031d9*,Lou Trivino,SF,RP,971,FA,33,@CIN Thu 1:10PM,22.83,0%,-,2%,33,0,0,0,35,4.36,1.424,41
*04eny*,Kyle Nelson,ARI,RP,973,FA,28,CHC Thu 7:10PM,22.76,0%,-,2%,26,0,0,3,31,3.81,1.154,30
*03pp2*,Josh Staumont,CIN,RP,978,FA,31,SF Thu 1:10PM,22.63,0%,-,1%,33,0,0,0,38,4.36,1.515,35
*05gea*,Sem Robberse,STL,SP,986,FA,23,MIN Thu 1:15PM,22.15,0%,-,12%,39,4,0,0,25,4.85,1.487,8
*02i31*,Chris Devenski,NYM,RP,987,FA,34,@HOU Thu 1:10PM,22.14,0%,-,1%,32,0,0,0,35,4.78,1.313,26
*05tux*,Dauri Moreta,PIT,RP,991,FA,28,@MIA Thu 1:10PM,21.95,0%,-,3%,27,0,0,0,29,3.67,1.148,25
*03at0*,Kevin Herget,NYM,RP,992,FA,33,@HOU Thu 1:10PM,21.92,0%,-,1%,26,0,0,0,26,3.46,1.077,15
*04pql*,Ethan Roberts,CHC,RP,1000,FA,27,@ARI Thu 7:10PM,21.47,0%,-,1%,29,0,0,0,26,3.72,1.31,24
*05r0y*,Vinny Nittoli,MIL,RP,1001,FA,34,@NYY Thu 12:05PM,21.41,0%,-,0%,31,0,0,0,34,4.65,1.323,24
*041tl*,Matt Festa,TEX,RP,1005,FA,31,BOS Thu 1:05PM,21.31,0%,-,1%,28,0,0,0,29,3.86,1.25,25
*01uay*,Bryan Shaw,CIN,RP,1010,FA,37,SF Thu 1:10PM,21.1,0%,-,1%,33,0,0,2,27,4.64,1.545,33
*03dbu*,Sam Hentges,CLE,RP,1013,FA,28,@KC Thu 1:10PM,20.87,0%,-,4%,31,0,0,0,30,4.35,1.419,31
*0422q*,Matt Foster,(N/A),RP,1014,FA,30,,20.86,0%,-,1%,29,0,0,0,28,4.03,1.31,31
*03yxa*,Yunior Marte,SEA,RP,1015,FA,30,ATH Thu 7:10PM,20.84,0%,-,1%,32,0,0,2,33,5.06,1.531,29
*03qv3*,Nick Vespi,PHI,RP,1016,FA,29,@WSH Thu 1:05PM,20.74,0%,-,1%,31,0,0,0,29,4.35,1.419,31
*041qz*,Mason Thompson,WSH,RP,1019,FA,27,PHI Thu 1:05PM,20.64,0%,-,1%,34,0,0,0,28,4.76,1.559,33
*01s97*,Jay Jackson,(N/A),RP,1021,FA,37,,20.6,0%,-,0%,26,0,0,0,28,3.81,1.154,21
*04pqh*,Mason Englert,TB,"SP,RP",1022,FA,25,,20.59,0%,-,2%,39,0,0,0,37,4.85,1.333,21
*05xz4*,Michael Petersen,LAA,RP,1027,FA,30,@CHW Thu 1:10PM,20.5,0%,-,0%,27,0,0,0,28,3.67,1.333,22
*04ei8*,Sean Guenther,DET,RP,1029,FA,29,@LAD Thu 4:10PM,20.45,0%,-,1%,24,0,0,3,20,3.38,1.208,19
*02i3x*,Amir Garrett,TOR,RP,1031,FA,32,BAL Thu 12:07PM,20.39,0%,-,1%,31,0,0,0,37,4.94,1.484,37
*0513x*,Connor Thomas,MIL,RP,1032,FA,26,@NYY Thu 12:05PM,20.36,0%,-,2%,33,0,0,0,24,4.64,1.455,33
*051dm*,Joe La Sorsa,CIN,"SP,RP",1033,FA,26,SF Thu 1:10PM,20.34,0%,-,0%,29,0,0,0,21,4.03,1.241,24
*06lqo*,Chris Roycroft,STL,"SP,RP",1039,FA,27,MIN Thu 1:15PM,20.18,0%,-,1%,38,0,0,0,32,4.03,1.447,29
*01uci*,Dylan Covey,ATL,RP,1047,FA,33,@SD Thu 1:10PM,19.89,0%,-,0%,22,0,0,6,17,3.68,1.318,15
*0351m*,Miguel Castro,HOU,RP,1048,FA,30,NYM Thu 1:10PM,19.85,0%,-,1%,29,0,0,0,26,4.34,1.31,32
*04ywp*,Enoli Paredes,ATL,RP,1049,FA,29,@SD Thu 1:10PM,19.81,0%,-,2%,23,0,0,0,28,3.13,1.217,19
*0429i*,Kenny Rosenberg,(N/A),RP,1056,FA,29,,19.53,0%,-,1%,32,0,0,0,24,4.78,1.469,9
*059zc*,Dany Jimenez,ATL,RP,1060,FA,31,@SD Thu 1:10PM,19.36,0%,-,3%,28,0,0,0,32,4.5,1.393,28
*041qm*,Shaun Anderson,LAA,RP,1063,FA,30,@CHW Thu 1:10PM,19.26,0%,-,0%,28,0,0,0,23,4.18,1.321,11
*031gh*,Ben Heller,CHC,RP,1068,FA,33,@ARI Thu 7:10PM,19.06,0%,-,0%,26,0,0,0,34,4.5,1.308,22
*05xpw*,Grant Holman,ATH,"SP,RP",1070,FA,24,@SEA Thu 7:10PM,19.04,0%,-,5%,25,0,0,7,23,3.6,1.36,29
*05152*,Tanner Gordon,COL,SP,1071,FA,26,,19,0%,-,2%,42,0,0,0,32,5.57,1.5,32
*041m4*,Justin Dunn,CHW,SP,1075,FA,29,LAA Thu 1:10PM,18.77,0%,-,1%,33,0,0,0,32,4.09,1.303,16
*04pru*,Michael Flynn,TB,RP,1076,FA,28,,18.75,0%,-,0%,27,0,0,0,31,4.67,1.333,27
*041me*,Diego Castillo,COL,RP,1077,FA,31,,18.75,0%,-,1%,33,0,0,0,28,5.18,1.727,31
*031hc*,Cole Sulser,TB,RP,1079,FA,34,,18.73,0%,-,1%,25,0,0,0,28,3.96,1.28,21
*05rlb*,Eduardo Salazar,WSH,"SP,RP",1084,FA,26,PHI Thu 1:05PM,18.62,0%,-,1%,33,0,0,5,23,4.64,1.515,28
*0511g*,Ethan Small,SF,RP,1089,FA,28,@CIN Thu 1:10PM,18.23,0%,-,5%,23,0,0,0,26,3.52,1.261,12
*0579z*,Bradley Blalock,COL,SP,1095,FA,24,,17.91,0%,-,5%,44,0,0,0,29,5.93,1.705,29
*0316r*,Trevor Gott,SEA,RP,1097,FA,32,ATH Thu 7:10PM,17.88,0%,-,1%,24,0,0,0,23,3.75,1.292,26
*03rrh*,Adonis Medina,SEA,RP,1100,FA,28,ATH Thu 7:10PM,17.76,0%,-,1%,28,0,0,0,22,4.5,1.429,28
*03qln*,Jimmy Herget,COL,RP,1102,FA,31,,17.74,0%,-,1%,28,0,0,0,25,4.82,1.429,22
*066p9*,Brendan White,DET,RP,1105,FA,26,@LAD Thu 4:10PM,17.6,0%,-,1%,26,0,0,0,24,4.15,1.423,21
*06lte*,Ryan Miller,DET,RP,1106,FA,28,@LAD Thu 4:10PM,17.59,0%,-,0%,27,0,0,0,20,4.33,1.37,27
*0429q*,Michael Rucker,(N/A),RP,1113,FA,30,,17.4,0%,-,0%,25,0,0,0,26,4.32,1.36,20
*0312l*,Brad Keller,CHC,"SP,RP",1115,FA,29,@ARI Thu 7:10PM,17.38,0%,-,2%,31,3,0,0,23,4.65,1.516,6
*04mlg*,Jackson Kowar,SEA,RP,1118,FA,28,ATH Thu 7:10PM,17.33,0%,-,3%,26,0,0,0,25,4.5,1.385,19
*05gsw*,Yerry De Los Santos,NYY,RP,1122,FA,27,MIL Thu 12:05PM,17.11,0%,-,2%,24,0,0,0,23,4.13,1.292,23
*04q3y*,Grant Anderson,MIL,"SP,RP",1123,FA,27,@NYY Thu 12:05PM,17.06,0%,-,1%,33,0,0,0,32,4.64,1.424,26
*06l0i*,Eduarniel Nunez,SD,RP,1125,FA,25,ATL Thu 1:10PM,17.02,0%,-,1%,33,0,0,0,28,5.73,1.879,33
*04ei3*,Parker Mushinski,CLE,RP,1126,FA,29,@KC Thu 1:10PM,16.99,0%,-,0%,26,0,0,0,26,4.5,1.462,24
*0630h*,Mason Barnett,ATH,SP,1129,FA,24,@SEA Thu 7:10PM,16.91,0%,-,16%,28,3,0,0,27,4.5,1.429,6
*031au*,Patrick Murphy,TEX,RP,1131,FA,29,BOS Thu 1:05PM,16.8,0%,-,0%,24,0,0,0,23,4.13,1.333,25
*04pw2*,Chase Shugart,PIT,RP,1132,FA,28,@MIA Thu 1:10PM,16.76,0%,-,0%,28,0,0,0,22,4.82,1.536,19
*03di1*,Matt Gage,DET,RP,1134,FA,32,@LAD Thu 4:10PM,16.75,0%,-,0%,23,0,0,0,25,3.91,1.348,18
*02hkk*,Chasen Shreve,ATL,RP,1135,FA,34,@SD Thu 1:10PM,16.71,0%,-,0%,24,0,0,0,26,4.5,1.292,24
*03aad*,Alex Young,CIN,RP,1136,FA,31,SF Thu 1:10PM,16.69,0%,-,1%,27,0,0,0,26,5,1.519,30
*02n4q*,J.B. Wendelken,SD,RP,1137,FA,31,ATL Thu 1:10PM,16.67,0%,-,0%,24,0,0,0,22,4.13,1.333,24
*041wu*,Zach Plesac,(N/A),SP,1143,FA,30,,16.57,0%,-,2%,29,3,0,0,20,4.66,1.379,6
*01vxp*,Brooks Raley,(N/A),RP,1144,FA,36,,16.55,0%,-,4%,20,0,0,0,21,3.15,1.2,23
*04q6c*,Isaiah Campbell,BOS,"SP,RP",1145,FA,27,@TEX Thu 1:05PM,16.49,0%,-,4%,33,0,0,0,32,4.91,1.485,33
*04ydj*,Jose Marte,(N/A),RP,1147,FA,28,,16.45,0%,-,0%,26,0,0,0,24,4.5,1.5,22
*031ey*,Eric Lauer,TOR,SP,1148,FA,29,BAL Thu 12:07PM,16.36,0%,-,3%,34,0,0,0,33,5.29,1.471,7
*05y12*,Daniel Duarte,MIN,RP,1149,FA,28,@STL Thu 1:15PM,16.28,0%,-,1%,25,0,0,0,20,4.32,1.4,23
*04ahc*,Bryan Mata,BOS,SP,1151,FA,25,@TEX Thu 1:05PM,16.24,0%,-,9%,32,0,0,0,28,4.22,1.469,32
*04q54*,Justin Hagenman,NYM,"SP,RP",1152,FA,28,@HOU Thu 1:10PM,16.24,0%,-,1%,35,0,0,0,30,5.4,1.486,34
*041wc*,Joel Kuhnel,PHI,RP,1153,FA,30,@WSH Thu 1:05PM,16.23,0%,-,0%,23,0,0,0,17,3.91,1.261,18
*02jmi*,Jose Cisnero,(N/A),RP,1154,FA,35,,16.2,0%,-,1%,24,0,0,0,28,4.5,1.417,25
*05ydc*,Nate Lavender,TB,RP,1155,FA,25,,16.2,0%,-,2%,32,0,0,0,35,6.47,2,32
*05tjx*,Steven Cruz,KC,RP,1156,FA,25,CLE Thu 1:10PM,16.18,0%,-,1%,26,0,0,0,25,4.5,1.577,23
*03178*,Adam Cimber,(N/A),RP,1158,FA,34,,16.16,0%,-,1%,26,0,0,0,21,4.85,1.423,29
*0310m*,Rob Zastryzny,NYY,RP,1159,FA,32,MIL Thu 12:05PM,16.14,0%,-,0%,25,0,0,0,24,4.68,1.4,29
*04psd*,Josh Winder,ARI,SP,1160,FA,28,CHC Thu 7:10PM,16.11,0%,-,2%,29,0,0,0,24,4.03,1.276,14
*03mey*,Gerson Garabito,TEX,"SP,RP",1163,FA,29,BOS Thu 1:05PM,16.02,0%,-,1%,31,0,0,0,26,4.35,1.387,25
*0429r*,Max Kranick,NYM,RP,1166,FA,27,@HOU Thu 1:10PM,15.75,0%,-,5%,26,0,0,0,18,4.85,1.423,10
*0260w*,Matt Barnes,(N/A),RP,1171,FA,34,,15.59,0%,-,1%,24,0,0,0,20,4.13,1.458,26
*06kyc*,Walter Pennington,TEX,RP,1176,FA,26,BOS Thu 1:05PM,15.52,0%,-,2%,22,0,0,0,22,4.09,1.318,20
*04prz*,Austin Warren,NYM,RP,1178,FA,29,@HOU Thu 1:10PM,15.5,0%,-,0%,23,0,0,0,24,4.3,1.391,16
*04n1l*,Jack O'Loughlin,COL,SP,1179,FA,24,,15.44,0%,-,1%,39,1,0,0,28,6.46,1.846,13
*03o0h*,Hagen Danner,SEA,RP,1180,FA,26,ATH Thu 7:10PM,15.4,0%,-,2%,23,0,0,0,21,4.3,1.348,23
*05mrv*,Eric Orze,TB,RP,1183,FA,27,,15.22,0%,-,2%,26,0,0,0,29,5.54,1.577,31
*06879*,Anthony Molina,COL,RP,1185,FA,23,,15.13,0%,-,1%,25,0,0,0,15,4.32,1.48,15
*041s7*,Jimmy Lambert,(N/A),RP,1186,FA,30,,15.03,0%,-,1%,25,0,0,0,27,5.4,1.48,24
*03mp9*,Wander Suero,ATL,RP,1192,FA,33,@SD Thu 1:10PM,14.8,0%,-,0%,24,0,0,0,23,4.88,1.458,24
*04ysx*,Luis Frias,CLE,RP,1193,FA,26,@KC Thu 1:10PM,14.76,0%,-,1%,23,0,0,0,25,4.3,1.522,23
*0514m*,Chris Murphy,BOS,SP,1196,FA,26,@TEX Thu 1:05PM,14.7,0%,-,2%,27,0,0,0,25,4,1.333,11
*03d7c*,Scott Blewett,MIN,RP,1197,FA,28,@STL Thu 1:15PM,14.7,0%,-,0%,28,0,0,0,23,5.79,1.679,17
*05uy4*,Dylan Dodd,ATL,SP,1201,FA,26,@SD Thu 1:10PM,14.5,0%,-,7%,38,0,0,0,27,6.39,1.737,15
*04otv*,Alan Rangel,PHI,SP,1208,FA,27,@WSH Thu 1:05PM,14.31,0%,-,1%,31,0,0,0,26,4.94,1.484,31
*04el7*,Max Lazar,PHI,RP,1209,FA,25,@WSH Thu 1:05PM,14.31,0%,-,2%,19,0,0,0,19,3.79,1.158,15
*06ax0*,Michael Arias,NYY,RP,1210,FA,23,MIL Thu 12:05PM,14.24,0%,-,4%,33,0,0,0,29,6.82,2.303,34
*03dsj*,J.B. Bukauskas,MIL,RP,1217,FA,28,@NYY Thu 12:05PM,14.05,0%,-,2%,23,0,0,0,24,4.7,1.522,22
*02j6w*,Jose Urena,NYM,"SP,RP",1221,FA,33,@HOU Thu 1:10PM,13.85,0%,-,3%,24,0,0,0,16,4.88,1.458,9
*0512a*,Tommy Henry,ARI,SP,1223,FA,27,CHC Thu 7:10PM,13.79,0%,-,6%,35,0,0,0,26,5.66,1.743,13
*04ei1*,Lucas Gilbreath,COL,RP,1225,FA,29,,13.64,0%,-,1%,28,0,0,0,23,6.11,1.786,34
*050ig*,Oliver Ortega,NYM,RP,1226,FA,28,@HOU Thu 1:10PM,13.64,0%,-,0%,22,0,0,0,23,4.5,1.5,16
*043pf*,Josh Taylor,(N/A),RP,1227,FA,32,,13.61,0%,-,0%,21,0,0,0,26,4.71,1.381,20
*032lk*,Sean Newcomb,BOS,RP,1228,FA,31,@TEX Thu 1:05PM,13.5,0%,-,0%,23,0,0,0,20,4.7,1.522,16
*0422w*,Adam Oller,(N/A),SP,1230,FA,30,,13.43,0%,-,1%,30,0,0,0,27,5.1,1.5,15
*051d7*,Amos Willingham,ATL,RP,1232,FA,26,@SD Thu 1:10PM,13.37,0%,-,0%,23,0,0,0,19,4.7,1.522,17
*03qr4*,Cody Stashak,PHI,RP,1233,FA,30,@WSH Thu 1:05PM,13.34,0%,-,0%,19,0,0,0,22,4.26,1.211,13
*02n7z*,Yency Almonte,CHC,RP,1235,FA,30,@ARI Thu 7:10PM,13.31,0%,-,2%,21,0,0,0,23,4.29,1.524,21
*06615*,Grant Hartwig,NYM,SP,1236,FA,27,@HOU Thu 1:10PM,13.29,0%,-,1%,29,0,0,0,25,4.66,1.552,22
*05jrv*,Will Klein,SEA,RP,1237,FA,25,ATH Thu 7:10PM,13.26,0%,-,2%,26,0,0,0,23,5.54,1.808,28
*02bt3*,Colten Brewer,NYY,RP,1238,FA,32,MIL Thu 12:05PM,13.16,0%,-,0%,23,0,0,0,22,5.09,1.522,16
*03dji*,Austin Davis,SD,RP,1239,FA,32,ATL Thu 1:10PM,13.15,0%,-,0%,18,0,0,0,20,3.5,1.333,18
*05mrs*,Bailey Horn,STL,"SP,RP",1244,FA,27,MIN Thu 1:15PM,12.9,0%,-,1%,26,0,0,0,24,5.88,1.808,26
*03n6f*,Tyler Jay,MIL,"SP,RP",1246,FA,30,@NYY Thu 12:05PM,12.82,0%,-,0%,19,0,0,0,17,3.79,1.368,12
*01iz0*,Tyler Matzek,NYY,RP,1248,FA,34,MIL Thu 12:05PM,12.75,0%,-,1%,25,0,0,0,22,6.12,1.64,25
*04qot*,Yerry Rodriguez,PIT,"SP,RP",1249,FA,27,@MIA Thu 1:10PM,12.75,0%,-,2%,28,0,0,0,27,4.82,1.536,28
*04paj*,Cole Winn,TEX,"SP,RP",1250,FA,25,BOS Thu 1:05PM,12.73,0%,-,10%,31,0,0,0,26,5.52,1.645,23
*04tzu*,Ronny Henriquez,MIA,"SP,RP",1253,FA,24,PIT Thu 1:10PM,12.51,0%,-,3%,25,0,0,3,23,5.04,1.48,18
*04q7i*,Colin Selby,BAL,SP,1254,FA,27,@TOR Thu 12:07PM,12.47,0%,-,1%,26,0,0,0,25,4.5,1.423,23
*03qtp*,Trey Wingenter,(N/A),RP,1255,FA,30,,12.45,0%,-,0%,21,0,0,0,26,5.14,1.524,20
*04ehs*,Cody Bolton,SEA,"SP,RP",1259,FA,26,ATH Thu 7:10PM,12.21,0%,-,2%,24,0,0,0,23,4.13,1.333,20
*051am*,Easton Lucas,TOR,"SP,RP",1260,FA,28,BAL Thu 12:07PM,12.21,0%,-,0%,24,0,0,0,23,4.13,1.333,18
*0516q*,Connor Gillispie,MIA,RP,1264,FA,27,PIT Thu 1:10PM,11.98,0%,-,1%,21,0,0,0,18,4.71,1.476,8
*06c33*,Joe Jacques,LAD,SP,1265,FA,29,DET Thu 4:10PM,11.96,0%,-,0%,24,0,0,0,20,3.75,1.417,20
*04pqd*,Drew Rom,STL,SP,1266,FA,25,MIN Thu 1:15PM,11.92,0%,-,4%,25,2,0,0,24,5.4,1.68,6
*0518d*,Anthony Maldonado,ATH,"SP,RP",1267,FA,27,@SEA Thu 7:10PM,11.9,0%,-,1%,26,0,0,0,24,4.85,1.462,24
*01cg1*,Daniel Bard,(N/A),RP,1270,FA,39,,11.75,0%,-,2%,21,0,0,0,21,4.71,1.619,21
*03dew*,Brandon Leibrandt,NYY,RP,1272,FA,32,MIL Thu 12:05PM,11.66,0%,-,0%,20,0,0,0,17,4.95,1.35,6
*041t2*,Brooks Kriske,CHC,RP,1285,FA,31,@ARI Thu 7:10PM,11.25,0%,-,0%,17,0,0,0,20,4.24,1.294,10
*03zxg*,Emmanuel Ramirez,(N/A),"SP,RP",1286,FA,30,,11.24,0%,-,0%,28,0,0,0,25,6.11,1.536,20
*04y6o*,Guillo Zuniga,PHI,RP,1287,FA,26,@WSH Thu 1:05PM,11.22,0%,-,1%,21,0,0,0,17,5.14,1.524,18
*04aja*,Ryder Ryan,PIT,"SP,RP",1289,FA,29,@MIA Thu 1:10PM,11.18,0%,-,1%,26,0,0,0,20,4.85,1.5,26
*0524m*,Brett de Geus,MIA,RP,1291,FA,27,PIT Thu 1:10PM,11.12,0%,-,0%,18,0,0,0,13,4,1.333,21
*03nqg*,Kolby Allard,CLE,SP,1297,FA,27,@KC Thu 1:10PM,10.95,0%,-,2%,25,2,0,0,20,5.76,1.68,6
*0515s*,Nick Robertson,TOR,"SP,RP",1303,FA,26,BAL Thu 12:07PM,10.78,0%,-,1%,24,0,0,0,24,4.88,1.458,18
*03ani*,Joely Rodriguez,(N/A),RP,1308,FA,33,,10.66,0%,-,0%,19,0,0,0,18,4.74,1.474,20
*05gx2*,Jeff Criswell,COL,"SP,RP",1309,FA,25,,10.62,0%,-,2%,27,0,0,0,31,6.33,1.704,18
*04ehi*,Tyler Zuber,NYM,RP,1314,FA,29,@HOU Thu 1:10PM,10.5,0%,-,0%,17,0,0,0,19,4.24,1.412,10
*0484h*,Nabil Crismatt,PHI,RP,1317,FA,30,@WSH Thu 1:05PM,10.42,0%,-,1%,19,0,0,0,18,5.21,1.421,19
*041pp*,Daulton Jefferies,(N/A),SP,1318,FA,29,,10.4,0%,-,1%,23,0,0,0,20,4.7,1.348,9
*04eoi*,Ricky Vanasco,DET,SP,1319,FA,26,@LAD Thu 4:10PM,10.37,0%,-,3%,23,0,0,0,23,4.3,1.565,23
*066n1*,Justin Sterner,ATH,RP,1321,FA,28,@SEA Thu 7:10PM,10.31,0%,-,0%,18,0,0,0,20,5,1.389,9
