"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","Ros","AB","H","R","HR","RBI","SB","OBP","SLG","GP"
"*05184*","Vinnie Pasquantino","KC","1B","277","FA","27","CLE Thu 1:10PM","65.63","100%","105.89","99%","511","140","62","22","85","1",".343",".468","138"
"*02w7p*","Alex Bregman","BOS","3B","196","FA","30","@TEX Thu 1:05PM","71.64","100%","108.17","99%","579","152","88","22","84","2",".344",".435","152"
"*01u75*","Salvador Perez","KC","C,1B","256","FA","34","CLE Thu 1:10PM","67.03","100%","108.47","99%","528","133","52","24","83","0",".305",".436","138"
"*042sz*","Will Smith","LAD","C","222","FA","29","DET Thu 4:10PM","69.47","100%","112.97","99%","471","119","79","20","79","2",".346",".437","130"
"*040b5*","Randy Arozarena","SEA","OF","178","FA","30","ATH Thu 7:10PM","73.4","100%","113.5","99%","529","129","80","19","71","24",".349",".416","146"
"*03120*","Cody Bellinger","NYY","1B,OF","218","FA","29","MIL Thu 12:05PM","69.92","100%","114.25","99%","511","129","73","23","72","14",".315",".444","126"
"*05xch*","Junior Caminero","TB","3B","285","FA","21","","65.37","100%","115.71","99%","505","132","64","23","73","7",".323",".446","130"
"*02bq2*","Brandon Nimmo","NYM","OF","221","FA","31","@HOU Thu 1:10PM","69.61","100%","116.42","98%","550","137","87","21","74","7",".347",".425","144"
"*04y9p*","Anthony Volpe","NYY","SS","115","FA","23","MIL Thu 12:05PM","79.41","100%","118.24","99%","634","146","86","18","65","35",".296",".375","154"
"*03oh0*","Willson Contreras","STL","C","308","FA","32","MIN Thu 1:15PM","63.8","100%","119.06","98%","426","110","62","20","57","5",".364",".455","113"
"*04aq4*","Adolis Garcia","TEX","OF","131","FA","32","BOS Thu 1:05PM","77.79","100%","120.1","99%","576","137","86","31","97","9",".305",".453","147"
"*04pr1*","Steven Kwan","CLE","OF","239","FA","27","@KC Thu 1:10PM","67.85","100%","122.95","99%","592","166","96","8","54","18",".356",".385","146"
"*04pks*","Matt McLain","CIN","2B,SS","163","FA","25","SF Thu 1:10PM","74.59","100%","124.05","99%","523","130","83","22","68","21",".341",".451","138"
"*0414g*","Luis Garcia Jr.","WSH","2B","341","FA","24","PHI Thu 1:05PM","61.54","100%","131.4","98%","500","135","60","14","66","15",".309",".414","123"
"*0596e*","Dylan Crews","WSH","OF","242","FA","23","PHI Thu 1:05PM","67.57","100%","132.18","100%","518","129","58","13","59","34",".327",".392","138"
"*02jh6*","Eugenio Suarez","ARI","3B","200","FA","33","CHC Thu 7:10PM","71.46","100%","134.05","97%","562","133","77","27","93","1",".319",".436","146"
"*04azv*","Jake Burger","TEX","1B,3B","219","FA","28","BOS Thu 1:05PM","69.91","100%","138.3","99%","532","129","69","34","77","1",".303",".485","138"
"*04mra*","Ezequiel Tovar","COL","SS","173","FA","23","","73.73","100%","139.04","99%","648","167","79","22","75","12",".294",".440","151"
"*04pkr*","Nico Hoerner","CHC","2B,SS","244","FA","27","@ARI Thu 7:10PM","67.52","100%","146.01","99%","542","151","84","6","50","31",".341",".376","138"
"*01uc9*","Nick Castellanos","PHI","OF","185","FA","33","@WSH Thu 1:05PM","72.39","100%","146.94","98%","610","157","75","24","88","8",".308",".434","154"
"*04p10*","Bryson Stott","PHI","2B,SS","270","FA","27","@WSH Thu 1:05PM","66.15","100%","150.89","98%","527","134","69","12","57","27",".320",".376","146"
"*025gb*","Xander Bogaerts","SD","2B,SS","268","FA","32","ATL Thu 1:10PM","66.29","100%","151.32","98%","538","147","73","15","60","16",".335",".413","138"
"*041qb*","Bo Bichette","TOR","SS","314","FA","27","BAL Thu 12:07PM","63.28","99%","151.66","99%","560","155","64","15","69","8",".319",".420","138"
"*04o4s*","Shea Langeliers","ATH","C","229","FA","27","@SEA Thu 7:10PM","68.96","99%","153.9","97%","499","111","58","28","74","4",".289",".445","130"
"*03pje*","Taylor Ward","LAA","OF","224","FA","31","@CHW Thu 1:10PM","69.43","99%","155.2","96%","585","146","71","25","75","6",".332",".429","146"
"*01spl*","Jurickson Profar","ATL","OF","278","FA","32","@SD Thu 1:10PM","65.62","100%","156.43","99%","532","142","83","16","71","6",".363",".415","151"
"*05ras*","Colton Cowser","BAL","OF","282","FA","24","@TOR Thu 12:07PM","65.52","100%","157.96","99%","489","118","79","23","64","8",".345",".436","130"
"*04mn5*","Alec Bohm","PHI","1B,3B","271","FA","28","@WSH Thu 1:05PM","66.14","99%","158.13","99%","560","157","67","15","91","4",".333",".429","143"
"*03dei*","Lane Thomas","CLE","OF","310","FA","29","@KC Thu 1:10PM","63.72","100%","161.88","96%","490","121","69","15","62","19",".313",".412","130"
"*01ual*","Paul Goldschmidt","NYY","1B","193","FA","37","MIL Thu 12:05PM","71.77","99%","163.59","97%","570","140","77","25","74","8",".320",".437","149"
"*03pzn*","Andres Gimenez","TOR","2B","240","FA","26","BAL Thu 12:07PM","67.79","99%","165.09","96%","560","142","69","11","65","27",".315",".371","146"
"*02mzg*","Max Muncy","LAD","3B","203","FA","34","DET Thu 4:10PM","71.12","100%","165.56","97%","467","100","87","28","94","2",".345",".448","130"
"*05ybv*","Jackson Holliday","BAL","2B","379","FA","21","@TOR Thu 12:07PM","57.67","100%","168.52","99%","475","108","80","12","48","10",".343",".371","138"
"*02yk4*","Tyler O'Neill","BAL","OF","347","FA","29","@TOR Thu 12:07PM","60.41","100%","168.56","97%","414","96","66","24","56","10",".328",".449","113"
"*03ae8*","Dansby Swanson","CHC","SS","160","FA","31","@ARI Thu 7:10PM","75.12","99%","169.04","97%","585","145","90","20","81","15",".319",".405","143"
"*05xu5*","Zach Neto","LAA","SS","227","FA","24","@CHW Thu 1:10PM","69.27","100%","173.26","98%","483","118","64","20","67","24",".320",".431","130"
"*051wv*","Pete Crow-Armstrong","CHC","OF","305","FA","22","@ARI Thu 7:10PM","64.08","99%","173.64","98%","457","108","65","13","57","29",".301",".407","125"
"*04q56*","Logan O'Hoppe","LAA","C","263","FA","25","@CHW Thu 1:10PM","66.74","100%","177.15","98%","468","117","65","24","63","4",".326",".440","122"
"*04n8z*","Xavier Edwards","MIA","SS","321","FA","25","PIT Thu 1:10PM","62.7","99%","177.45","97%","521","143","69","3","43","32",".351",".355","130"
"*04ok3*","Michael Toglia","COL","1B,OF","373","FA","26","","58.5","99%","179.55","94%","445","103","56","24","55","7",".327",".449","122"
"*041ah*","Josh Lowe","TB","OF","265","FA","27","","66.31","99%","181.09","96%","466","117","59","17","64","27",".313",".436","113"
"*031t0*","Gleyber Torres","DET","2B","259","FA","28","@LAD Thu 4:10PM","66.95","99%","181.47","97%","553","146","81","17","65","10",".344",".409","146"
"*04nx3*","Jonathan India","KC","2B","266","FA","28","CLE Thu 1:10PM","66.31","99%","181.83","97%","537","135","81","14","60","15",".354",".391","143"
"*051em*","Kerry Carpenter","DET","OF","327","FA","27","@LAD Thu 4:10PM","62.61","100%","185.73","97%","438","119","60","26","76","2",".337",".518","109"
"*04ppj*","Jeremy Pena","HOU","SS","197","FA","27","NYM Thu 1:10PM","71.61","99%","188","97%","602","160","85","15","67","18",".314",".395","154"
"*025i9*","J.T. Realmuto","PHI","C","353","FA","33","@WSH Thu 1:05PM","60","100%","190.98","96%","422","109","58","17","56","6",".320",".445","113"
"*01sy3*","Nolan Arenado","STL","3B","254","FA","33","MIN Thu 1:15PM","67.22","100%","194.61","97%","560","151","70","21","83","3",".327",".434","143"
"*05g3x*","Maikel Garcia","KC","2B,3B","206","FA","25","CLE Thu 1:10PM","70.99","100%","194.89","96%","576","147","80","8","59","34",".316",".363","154"
"*05gwy*","Masyn Winn","STL","SS","245","FA","22","MIN Thu 1:15PM","67.51","100%","196.86","98%","569","143","84","13","56","19",".315",".381","146"
"*025he*","George Springer","TOR","OF","252","FA","35","BAL Thu 12:07PM","67.31","98%","197.35","93%","531","129","78","19","62","17",".323",".397","130"
"*04pmn*","Parker Meadows","DET","OF","280","FA","25","@LAD Thu 4:10PM","65.53","98%","201.52","92%","523","122","71","16","53","22",".318",".415","130"
"*03pix*","Tyler Stephenson","CIN","C","338","FA","28","SF Thu 1:10PM","61.75","99%","201.86","93%","461","116","65","16","65","1",".330",".410","125"
"*05ub0*","Zack Gelof","ATH","2B","329","FA","25","@SEA Thu 7:10PM","62.6","97%","202.36","92%","490","112","62","18","51","21",".303",".398","138"
"*03qjy*","Brandon Lowe","TB","1B,2B","429","FA","30","","54.1","99%","202.36","92%","372","89","55","20","60","5",".321",".457","97"
