"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","Ros","AB","H","R","HR","RBI","SB","OBP","SLG","GP"
"*06ife*","Sebastian Cadiz","CLE","C","3055","FA","19","@KC Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06rl5*","Luis Caicuto","PHI","C","3058","FA","22","@WSH Thu 1:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*05js2*","David Calabrese","LAA","OF","3061","FA","22","@CHW Thu 1:10PM","0","0%","-","2%","0","0","0","0","0","0","0","0","0"
"*06htx*","Anthony Calarco","(N/A)","1B","3062","FA","25","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*066mo*","Robert Calaz","COL","OF","3063","FA","19","","0","0%","-","47%","0","0","0","0","0","0","0","0","0"
"*06r9a*","Warren Calcano","KC","SS","3064","FA","17","CLE Thu 1:10PM","0","0%","-","1%","0","0","0","0","0","0","0","0","0"
"*06r15*","Omar Calcurian","SF","2B","3065","FA","19","@CIN Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06rk6*","Fernando Caldera","HOU","C","3066","FA","22","NYM Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06rju*","Francisco Caldera","HOU","C","3067","FA","18","NYM Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06c1n*","Nehomar Caldera","(N/A)","C","3068","FA","19","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*061yr*","Cesar Calderon","DET","1B","3071","FA","23","@LAD Thu 4:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06hsw*","Jaeden Calderon","PHI","OF","3072","FA","19","@WSH Thu 1:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*03rn0*","Jhoan Calderon","LAD","OF","3073","FA","27","DET Thu 4:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*025k3*","Yeicok Calderon","NYY","OF","3075","FA","33","MIL Thu 12:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*036e4*","Yordi Calderon","SEA","3B,OF","3076","FA","31","ATH Thu 7:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*02n6t*","Bruce Caldwell","STL","SS","3079","FA","33","MIN Thu 1:15PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06agr*","Slade Caldwell","ARI","OF","3080","FA","18","CHC Thu 7:10PM","0","0%","-","38%","0","0","0","0","0","0","0","0","0"
"*0240y*","Kole Calhoun","(N/A)","OF","3082","FA","37","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*0315r*","Willie Calhoun","(N/A)","UT","3083","FA","30","","0","0%","-","1%","0","0","0","0","0","0","0","0","0"
"*06hq8*","Caleb Cali","SEA","3B","3084","FA","24","ATH Thu 7:10PM","0","0%","-","1%","0","0","0","0","0","0","0","0","0"
"*02i69*","Orlando Calixte","(N/A)","SS","3085","FA","33","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*05y78*","Austin Callahan","CIN","3B","3086","FA","23","SF Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06hvg*","Brett Callahan","DET","OF","3087","FA","23","@LAD Thu 4:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*05xzu*","Samuel Camacaro","NYM","SS","3092","FA","21","@HOU Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06qze*","Jose Camacho","LAA","1B","3094","FA","18","@CHW Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06nl7*","Santiago Camacho","SF","C","3096","FA","18","@CIN Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*03344*","Johan Camargo","(N/A)","2B,SS","3100","FA","31","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06qns*","Ali Camarillo","ATH","SS","3101","FA","21","@SEA Thu 7:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*066cl*","Mario Camilletti","CHW","2B","3102","FA","25","LAA Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06427*","Alain Camou","(N/A)","2B","3105","FA","21","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*03zbi*","Marino Campana","BOS","OF","3106","FA","27","@TEX Thu 1:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*04ym5*","Sergio Campana","PIT","OF","3107","FA","22","@MIA Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06drp*","Clayton Campbell","DET","C,1B,3B","3108","FA","21","@LAD Thu 4:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*051hz*","Drew Campbell","(N/A)","OF","3109","FA","27","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06ekr*","Dylan Campbell","PHI","OF","3110","FA","22","@WSH Thu 1:05PM","0","0%","-","1%","0","0","0","0","0","0","0","0","0"
"*066ad*","Jacob Campbell","SD","OF","3111","FA","24","ATL Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*04er6*","Noah Campbell","(N/A)","OF","3115","FA","25","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*04b3m*","Alexander Campos","ATH","SS","3118","FA","25","@SEA Thu 7:10PM","0","0%","-","1%","0","0","0","0","0","0","0","0","0"
"*06rim*","Daniel Campos","CHC","C","3120","FA","19","@ARI Thu 7:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06rjw*","Diego Campos","HOU","C","3121","FA","18","NYM Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*050yl*","Dyron Campos","NYM","OF","3122","FA","24","@HOU Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*064o7*","Edrei Campos","BAL","3B","3123","FA","19","@TOR Thu 12:07PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*05r61*","Elio Campos","ATL","SS","3124","FA","0","@SD Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*059tv*","Roberto Campos","DET","OF","3125","FA","21","@LAD Thu 4:10PM","0","0%","-","5%","0","0","0","0","0","0","0","0","0"
"*06o0g*","Ryan Campos","STL","C","3126","FA","22","MIN Thu 1:15PM","0","0%","-","1%","0","0","0","0","0","0","0","0","0"
"*06o10*","Hector Campusano","BAL","2B","3127","FA","17","@TOR Thu 12:07PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*03qmu*","Gabriel Cancel","(N/A)","3B,SS","3128","FA","28","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06r7u*","Franklin Candelario","(N/A)","OF","3130","FA","18","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*04mmj*","Stir Candelario","TB","OF","3131","FA","24","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*04nau*","Wilmin Candelario","KC","SS","3132","FA","23","CLE Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*03mxd*","Malquin Canelo","(N/A)","SS","3134","FA","30","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06c1j*","Cam Cannarella","(N/A)","OF","3136","FA","21","","0","0%","-","3%","0","0","0","0","0","0","0","0","0"
"*04pqu*","Gage Canning","(N/A)","OF","3137","FA","27","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*0423y*","Cameron Cannon","BOS","SS","3138","FA","27","@TEX Thu 1:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*051d3*","Connor Cannon","NYY","1B","3139","FA","26","MIL Thu 12:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*0517d*","Jordan Cannon","BAL","C","3140","FA","28","@TOR Thu 12:07PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06alz*","Gregori Cano","(N/A)","1B","3142","FA","20","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06jh6*","Ichiro Cano","CIN","3B","3143","FA","20","SF Thu 1:10PM","0","0%","-","1%","0","0","0","0","0","0","0","0","0"
"*05gs5*","Hayden Cantrelle","CHC","2B,SS","3146","FA","26","@ARI Thu 7:10PM","0","0%","-","1%","0","0","0","0","0","0","0","0","0"
"*06jbi*","Justin Capellan","NYY","C","3147","FA","18","MIL Thu 12:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*061zk*","Samuel Capellan","(N/A)","OF","3148","FA","20","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*05110*","Yiddi Cappe","MIA","3B","3151","FA","22","PIT Thu 1:10PM","0","0%","-","8%","0","0","0","0","0","0","0","0","0"
"*06qrj*","Balian Caraballo","LAA","OF","3152","FA","19","@CHW Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06rp4*","Brandy Caraballo","DET","OF","3153","FA","19","@LAD Thu 4:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06rp3*","Heriberto Caraballo","STL","C","3154","FA","20","MIN Thu 1:15PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06cq4*","Trent Caraway","(N/A)","3B","3160","FA","20","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*03cx4*","Daniel Carbonell","SF","OF","3161","FA","33","@CIN Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*0313i*","Scott Carcaise","MIA","1B,OF","3162","FA","32","PIT Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*05y2j*","Noah Cardenas","MIN","C","3164","FA","25","@STL Thu 1:15PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*04pyz*","Ruben Cardenas","PHI","OF","3165","FA","27","@WSH Thu 1:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*04amp*","Jose Cardona","TEX","OF","3167","FA","30","BOS Thu 1:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06rgr*","Victor Cardoza","PHI","OF","3169","FA","19","@WSH Thu 1:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*064ov*","Leny Carela","PHI","2B","3173","FA","20","@WSH Thu 1:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*03dfj*","D.K. Carey","WSH","OF","3174","FA","33","PHI Thu 1:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06qrv*","Owen Carey","ATL","OF","3176","FA","18","@SD Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*02hq7*","Benjamin Carhart","LAD","3B","3177","FA","35","DET Thu 4:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*0622v*","Michael Carico","CHC","C","3178","FA","22","@ARI Thu 7:10PM","0","0%","-","1%","0","0","0","0","0","0","0","0","0"
"*06r1f*","Carlos Caripa","CLE","OF","3179","FA","17","@KC Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*066qb*","Jean Carlos Sio","SF","3B","3183","FA","20","@CIN Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06alq*","Billy Carlson","(N/A)","SS","3184","FA","18","","0","0%","-","1%","0","0","0","0","0","0","0","0","0"
"*06k7s*","Easton Carmichael","(N/A)","C","3190","FA","21","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*02n31*","Stephen Carmon","SD","SS","3191","FA","35","ATL Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06rhx*","Angel Carmona","ATL","SS","3192","FA","17","@SD Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*05xzv*","Carlos Carmona","STL","OF","3193","FA","20","MIN Thu 1:15PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*02n3o*","William Carmona","PHI","3B","3195","FA","33","@WSH Thu 1:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06iew*","Hunter Carns","(N/A)","C","3197","FA","19","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06lt9*","Carlos Caro","PIT","2B","3198","FA","20","@MIA Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*03aor*","Hector Caro","CLE","OF","3199","FA","29","@KC Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*03nrr*","Roberto Caro","CHC","OF","3200","FA","31","@ARI Thu 7:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06oo3*","Josh Caron","SEA","C","3201","FA","21","ATH Thu 7:10PM","0","0%","-","3%","0","0","0","0","0","0","0","0","0"
"*0422r*","Brock Carpenter","LAD","3B","3202","FA","29","DET Thu 4:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*03bua*","Luis Carpio","DET","SS","3208","FA","27","@LAD Thu 4:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*05yhi*","Jared Carr","PHI","OF","3210","FA","25","@WSH Thu 1:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06qvk*","Peyton Carr","MIN","3B","3212","FA","22","@STL Thu 1:15PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*04o77*","Dennicher Carrasco","KC","3B","3214","FA","29","CLE Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06jh0*","Carlos Carrasquel","BOS","SS","3218","FA","18","@TEX Thu 1:05PM","0","0%","-","1%","0","0","0","0","0","0","0","0","0"
"*04yj9*","Julio Carreras","COL","3B,SS","3224","FA","25","","0","0%","-","1%","0","0","0","0","0","0","0","0","0"
"*04ek6*","Chris Carrier","CHC","OF","3225","FA","29","@ARI Thu 7:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*060ud*","Lorenzo Carrier","(N/A)","OF","3226","FA","21","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*0429j*","Shane Carrier","MIN","OF","3227","FA","28","@STL Thu 1:15PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*062yz*","Oliver Carrillo","HOU","OF","3230","FA","23","NYM Thu 1:10PM","0","0%","-","1%","0","0","0","0","0","0","0","0","0"
"*06awt*","Julio Carrion","(N/A)","1B","3232","FA","26","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*03bts*","Omar Carrizales","COL","OF","3233","FA","30","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*04ocq*","Dallas Carroll","MIL","3B","3235","FA","30","@NYY Thu 12:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*041wf*","Trevyne Carter","SD","OF","3244","FA","27","ATL Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*05u6m*","Willie Carter","ATL","OF","3246","FA","27","@SD Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*0637d*","Jair Casanova","(N/A)","OF","3250","FA","21","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06akc*","Gavin Casas","(N/A)","1B","3252","FA","23","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*04eg6*","Cash Case","(N/A)","2B,SS","3255","FA","25","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*04erx*","Donovan Casey","WSH","OF","3258","FA","29","PHI Thu 1:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06quz*","Yanuel Casiano","CIN","C","3260","FA","18","SF Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06rko*","Isaias Casitllo","NYY","OF","3264","FA","16","MIL Thu 12:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06qnh*","Connor Caskenette","MIA","C","3265","FA","22","PIT Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06nzs*","Conrad Cason","BOS","SS","3266","FA","18","@TEX Thu 1:05PM","0","0%","-","9%","0","0","0","0","0","0","0","0","0"
"*06hhk*","Xavier Casserilla","HOU","3B","3267","FA","21","NYM Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06rjj*","Estanlin Cassiani","(N/A)","OF","3268","FA","22","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06kzx*","Johnny Castagnozzi","(N/A)","2B","3269","FA","23","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*03atz*","Adrian Castano","DET","OF","3272","FA","29","@LAD Thu 4:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*061yk*","Marcos Castanon","SD","2B,3B","3275","FA","25","ATL Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06rk4*","Alejandro Castellano","HOU","C","3277","FA","18","NYM Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06qx3*","Angelo Castellano","(N/A)","2B,SS","3278","FA","30","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*05gdi*","Enger Castellano","(N/A)","1B","3279","FA","22","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*04aj9*","Pedro Castellanos","(N/A)","1B","3281","FA","27","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*05r52*","Ali Castillo","(N/A)","2B","3283","FA","35","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06ams*","Byron Castillo","LAA","OF","3286","FA","19","@CHW Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*066cs*","Chad Castillo","PHI","1B","3288","FA","24","@WSH Thu 1:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*04zb2*","Daniel Castillo","MIL","SS","3290","FA","24","@NYY Thu 12:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06r5h*","Darian Castillo","SD","2B","3291","FA","18","ATL Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06qy3*","Deuri Castillo","SEA","SS","3292","FA","20","ATH Thu 7:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*04vnr*","Diego Castillo","MIN","SS","3293","FA","27","@STL Thu 1:15PM","0","0%","-","2%","0","0","0","0","0","0","0","0","0"
"*05xzk*","Eruviel Castillo","BAL","SS","3294","FA","21","@TOR Thu 12:07PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*04lel*","Estanli Castillo","TB","OF","3295","FA","23","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06rnp*","Haritzon Castillo","MIN","SS","3296","FA","16","@STL Thu 1:15PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*03uy5*","Henry Castillo","ARI","2B","3298","FA","30","CHC Thu 7:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06rqr*","Isaias Castillo","NYY","OF","3299","W (Sat)","16","MIL Thu 12:05PM","0","-","-","-","0","0","0","0","0","0","0","0","0"
"*03o3u*","Ivan Castillo","(N/A)","2B","3300","FA","29","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06m61*","Jackson Castillo","NYY","OF","3301","FA","21","MIL Thu 12:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*062l1*","Jesus Castillo","PIT","SS","3302","FA","21","@MIA Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06ri2*","Juan Castillo","COL","C","3304","FA","22","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*05rhs*","Kenny Castillo","ARI","C","3305","FA","21","CHC Thu 7:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06dqm*","Kevyn Castillo","LAA","OF","3306","FA","19","@CHW Thu 1:10PM","0","0%","-","1%","0","0","0","0","0","0","0","0","0"
"*061h9*","Kyler Castillo","MIA","OF","3307","FA","27","PIT Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*04epn*","Leugim Castillo","MIL","OF","3308","FA","25","@NYY Thu 12:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*03at2*","Luis Castillo","CHW","3B","3309","FA","28","LAA Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*061v8*","Luis Castillo","MIL","OF","3311","FA","21","@NYY Thu 12:05PM","0","0%","-","1%","0","0","0","0","0","0","0","0","0"
"*06amo*","Marino Castillo","(N/A)","OF","3312","FA","22","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06148*","Moises Castillo","CHW","SS","3314","FA","25","LAA Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*04o38*","Neyfy Castillo","(N/A)","1B,OF","3315","FA","24","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*061ti*","Osiris Castillo","(N/A)","SS","3316","FA","24","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*023wl*","Phillips Castillo","SEA","OF","3317","FA","31","ATH Thu 7:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06rhu*","Ruben Castillo","NYY","OF","3320","FA","17","MIL Thu 12:05PM","0","0%","-","1%","0","0","0","0","0","0","0","0","0"
"*06qh5*","Winifer Castillo","PHI","OF","3326","FA","18","@WSH Thu 1:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06mfs*","Yeiferth Castillo","CLE","OF","3327","FA","18","@KC Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06icj*","Yolfran Castillo","TEX","SS","3328","FA","18","BOS Thu 1:05PM","0","0%","-","16%","0","0","0","0","0","0","0","0","0"
"*061yp*","Allan Castro","BOS","OF","3329","FA","21","@TEX Thu 1:05PM","0","0%","-","3%","0","0","0","0","0","0","0","0","0"
"*03nfx*","Anderson Castro","MIA","OF","3330","FA","27","PIT Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*066n0*","Ariel Castro","MIN","OF","3332","FA","19","@STL Thu 1:15PM","0","0%","-","2%","0","0","0","0","0","0","0","0","0"
"*03neu*","Daniel Castro","(N/A)","2B","3333","FA","32","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*02hav*","Erik Castro","HOU","3B","3335","FA","37","NYM Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*04yda*","Fidel Castro","CIN","OF","3336","FA","26","SF Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06rnj*","Jesus Castro","SD","C","3337","FA","20","ATL Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06kvb*","Jose Castro","MIA","OF","3338","FA","18","PIT Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06l0k*","Jose Castro","NYY","OF","3339","FA","19","MIL Thu 12:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*01vx6*","Leandro Castro","PHI","OF","3342","FA","35","@WSH Thu 1:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*02yhb*","Luis Castro","HOU","1B,3B","3343","FA","29","NYM Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*03drn*","Ruben Castro","(N/A)","C","3346","FA","28","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*03zz5*","Samuel Castro","MIA","2B","3347","FA","27","PIT Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*05y5x*","Sebastian Castro","NYM","OF","3348","FA","20","@HOU Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*01oa7*","Starlin Castro","(N/A)","2B,3B","3349","FA","34","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*025hs*","Vincent Catricala","ATH","1B,3B","3357","FA","36","@SEA Thu 7:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06ako*","Pedro Catuy","ARI","OF","3358","FA","19","CHC Thu 7:10PM","0","0%","-","2%","0","0","0","0","0","0","0","0","0"
"*05uvx*","Cameron Cauley","TEX","2B,SS","3360","FA","22","BOS Thu 1:05PM","0","0%","-","4%","0","0","0","0","0","0","0","0","0"
"*06ezq*","Carlos Cauro","HOU","1B","3361","FA","19","NYM Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*050w8*","Keoni Cavaco","HOU","SS","3363","FA","23","NYM Thu 1:10PM","0","0%","-","4%","0","0","0","0","0","0","0","0","0"
"*06hps*","Drew Cavanaugh","SF","C","3364","FA","23","@CIN Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*020h2*","Brian Cavazos-Galvez","LAD","OF","3365","FA","37","DET Thu 4:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*065v3*","Pres Cavenaugh","CLE","OF","3366","FA","24","@KC Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*061po*","Yeison Ceballo","(N/A)","C","3371","FA","24","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*066b6*","Sabin Ceballos","SF","3B","3372","FA","22","@CIN Thu 1:10PM","0","0%","-","3%","0","0","0","0","0","0","0","0","0"
"*024n0*","Garin Cecchini","KC","1B,3B,SS","3373","FA","33","CLE Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*02i2p*","Gavin Cecchini","(N/A)","SS","3374","FA","31","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*062hm*","Jose Cedeno","CLE","C","3378","FA","20","@KC Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*04gge*","Leandro Cedeno","(N/A)","1B","3380","FA","26","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*06qsd*","Mani Cedeno","NYY","SS","3381","FA","16","MIL Thu 12:05PM","0","0%","-","4%","0","0","0","0","0","0","0","0","0"
"*057p6*","Nerwilian Cedeno","SD","2B","3382","FA","22","ATL Thu 1:10PM","0","0%","-","1%","0","0","0","0","0","0","0","0","0"
"*061tp*","Oliver Cedeno","(N/A)","SS","3383","FA","20","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*03ytg*","Lorenzo Cedrola","(N/A)","OF","3385","FA","27","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*0637c*","Jeremy Celedonio","(N/A)","OF","3386","FA","23","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*05xzs*","Victor Celedonio","BAL","SS","3387","FA","21","@TOR Thu 12:07PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*03vum*","Gilberto Celestino","NYM","OF","3389","FA","26","@HOU Thu 1:10PM","0","0%","-","1%","0","0","0","0","0","0","0","0","0"
"*05rgc*","Andres Centeno","MIN","OF","3392","FA","21","@STL Thu 1:15PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*038hy*","Juan Centeno","(N/A)","C","3394","FA","35","","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*066ms*","Angel Cepeda","CHC","3B,SS","3395","FA","19","@ARI Thu 7:10PM","0","0%","-","4%","0","0","0","0","0","0","0","0","0"
"*06akx*","Geisel Cepeda","TEX","OF","3397","FA","27","BOS Thu 1:05PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*05y3v*","Ryan Cepero","KC","SS","3399","FA","22","CLE Thu 1:10PM","0","0%","-","0%","0","0","0","0","0","0","0","0","0"
"*0529m*","Allan Cerda","MIN","OF","3401","FA","25","@STL Thu 1:15PM","0","0%","-","1%","0","0","0","0","0","0","0","0","0"
